Experiment,Mass (kg)
RedAccent_Closed_Center_1,20.7
RedAccent_Closed_Center_2,20.4
RedAccent_Closed_Center_3,20.7
RedAccent_Closed_Corner_1,20.3
RedAccent_Closed_Corner_2,20.3
Overstuffed_Closed_Center_1,48.3
RedAccent_Closed_Corner_3,20.0
Overstuffed_Closed_Corner_1,49.8
Overstuffed_Closed_Center_2,49.3
Overstuffed_Closed_Center_3,48.6
Overstuffed_Closed_Corner_2,49.4
Overstuffed_Closed_Corner_3,48.7
RedAccent_Open_Center_1,20.8
RedAccent_Open_Center_2,20.2
RedAccent_Open_Corner_1,20.1
RedAccent_Open_Center_3,20.2
RedAccent_Open_Corner_2,20.0
RedAccent_Open_Corner_3,20.5
Overstuffed_Open_Back_1,50.1
Overstuffed_Open_Back_2,49.0
Overstuffed_Open_Corner_1,48.1
Overstuffed_Open_Back_3,50.7
Overstuffed_Open_Corner_2,48.8
Overstuffed_Open_Back_4,50.0
Overstuffed_Open_Corner_3,48.4
RedAccent_Closed_Back_1,20.5
RedAccent_Open_Back_1,20.6
Overstuffed_Closed_Back_1,48.2
Overstuffed_Open_Center_1,48.8
